judge,paradigm
Kate,"I have been judging debate for approximately a year and a half and have evaluated rounds
at many tournaments, beginning in Fall 2024, including the GMU Patriot Games. I am a
parent judge with experience across multiple formats.
I value respectful engagement above all - toward opponents, partners, and the activity
itself. Clear, logical argumentation is essential. I am persuaded by well-structured cases
supported by statistics, evidence, and explicit weighing. If you want to win my ballot, tell
me why your impacts matter more and by how much. Numbers, comparative analysis, and
clear prioritization go a long way.
I appreciate dynamic, engaging speaking, but I am equally receptive to slower, very well-
articulated delivery, provided clarity and organization are maintained. Speed is fine if it
remains intelligible; clarity always outweighs pace.
I view cross-examination as a critical strategic moment. Use it to expose weaknesses,
clarify assumptions, and set up later arguments. Effective cross-ex should advance your
narrative or undermine your opponent’s case, not just fill time."
Dean,"Email chain: dean.carman@verizon.net
Background: Parent judge. No HS/college debate experience. CPA by training. I’ve judged
175+ rounds in ~3 years and I flow carefully (not perfectly).
How I vote: I vote off the flow. If it’s not in Final Focus, it’s not in my decision. I compare the
Final Focuses, resolve the contested clashes, apply established defense, and decide on the
best-explained/weighed world. I won’t reconstruct missing links or revive dropped
arguments.
Delivery: Conversational pace. Don’t spread or speed-read. Clear roadmaps/signposting
and consistent tags. If I can’t flow it, I can’t evaluate it. Crossfire isn’t flowed; if it matters,
say it in your next speech. After any jargon, give the “so what” in plain English.
Rules/structure: Not topical = not on my ballot. No new arguments after Rebuttal. New
evidence in Summary only to answer new material; no new links/warrants. Dropped then
revived = new argument = too late. If you claim a turn, label it and explain the “so what.”
Impacts/weighing: Do the link chain and comparative weighing
(probability/magnitude/timeframe/scope). Don’t just name impacts.
Politics: No ideology filters. Win the warrants, win my ballot. Ballot isn’t a patriotism, or
“did I sound left-leaning enough” test.
Final Focus: Give me a clear story + weighing, not a frantic checklist. If I can paste it into
Tabroom with minimal editing, we’re both having a great day."
Joel,"Background
I’m a first-time judge and still learning debate. I’m here to listen carefully, keep the round
fair, and decide based only on what happens in the debate. Clear explanation helps a lot.
How I decide
I vote for the side that best explains:
what their main arguments are
why they matter
why they outweigh the other side
Please tell me directly how to evaluate the round and why you win.
Speed & clarity
Conversational or slightly faster is great.
I’m not comfortable with very fast spreading. If I can’t understand it, I can’t evaluate it.
Signposting and organization are appreciated.
Arguments
I’m open to most arguments as long as they’re explained clearly and in plain language.
Quality of explanation matters more than the number of arguments.
Impact comparison is very helpful.
Evidence
Explain your evidence and how it supports your claims. I evaluate based on what’s said in
the round.
Conduct & points
Be respectful and professional.
Speaker points reflect clarity, organization, and persuasiveness.
Bottom line
Help me follow the round, tell me what the key issues are, and explain why you win.
Thanks, and good luck!"
Ting,"Lay Judge. I am super unfamiliar with the topic. please go extremely slow otherwise I will
not be able to understand your arguments. I value presence, confidence, and also
argument quality."
Young,"This is my 3rd year judging debates for BASIS Peoria.
You get my ballot if you present clear structure of speeches and contentions/arguments
and most importantly, strong delivery. Give off-time roadmaps! I am open-minded to all
arguments (no extinction impacts) but, there has to be clear links. If the links are not clear
to me, I will not vote you, even if you have simple arguments to understand.
NO SPREADING**
For speaks:
30 - if you are the best speaker I've seen judging so far.
27 to 29 - you fall in the average to good category.
26 below - you need work.
Please time yourselves and raise your hand if your opponents are over time. Grace period
is just finishing your sentence and anytime after that I'm docking speaks.
Be respectful - everyone is doing this activity because they love to do it."
Kwok,I am a fairly new judge with one time judge experience.
Beth,"My background: I am a former CEDA debater (1987-89) and CEDA coach (1990-93) from
East Tennessee State University. Upon my retirement in August 2021 I've judged
numerous at numerous debate tournaments for PF, LD, IDPA, Parli, and Big Questions
(mostly PF and LD). (FYI, when I participated in CEDA it was quasi-policy, not true policy like
it is today.)
Speed: I can keep up with a quick-ish speed - enunciation is very important! Pre round I
can do a ""speed test"" and let you know what I think of a participant's speech speed if
anyone wants to. I think it is especially important to make sure cases are comprehensible. I
look at speech docs if something only if evidence is questioned. I was never a super speed
debater and didn’t encourage my students to speed. Please keep all this in mind if you
normally utilize speedy delivery.
Theory: I am familiar with topicality and if other theory is introduced, I could probably
understand it. (I also used to run hasty generalization but not sure if that’s still a thing or
not.) Theory is best used when it’s pertinent to a round, not added for filler and needs to
be well developed if I am expected to vote on it. That being said, I also give the team
defending themselves against a theory shell quite a bit of latitude to do so; I look more at
the big picture of theory vs. arguing a dropped point or 2 and trying to pull it through to
win. Please do not run poorly developed/poorly substantiated disclosure theory especially
if you're not meeting the disclosure standards you're arguing your opponent does not
meet.
The rounds: Racism/sexism etc. will not be tolerated. Rudeness isn’t appreciated either. I
do not interject my own thoughts/opinions/judgements to make a decision, I only look at
what is provided in the round itself. Re: criteria, I want to hear what the debaters bring
forward and not have to come up with my own criteria to judge the round. My default
criteria is cost/benefit analysis. I reserve the right to call in evidence. (Once I won a round
that came down to a call for evidence, so, it can be important!) As far as overall judging, I
always liked what my coach used to say – “write the ballot for me”. Debaters need to point
out impacts and make solid, logical arguments. I appreciate good weighing and I will weigh
the arguments that carried through to the end of the round more heavily than arguments
that are not. Let me know what is important to vote on in your round and why. Sign
posting/numbering arguments is appreciated and is VERY important to me; let me know
where you plan to go at the top of your speech and also refer back to your roadmap as
you go along.
Cross Examination: a good CX that advances the round is always valued. If someone asks a
question, please don’t interrupt the debater answering the question. I don’t like to see a
cross ex dominated by one side.
In most rounds I will keep back up speaking time and prep time.
I hope to see enjoyable and educational rounds. You will learn so many valuable skills
being a debater! Good luck to all participants!"
Gist,"I am a parent judge.
I have judged 4 tournaments.
I appreciate maximal respect for opponents.
Please email rhetoric and references pasted as text into the body of an email, not
attachment, and include on email chains: gist.croft@gmail.com"
Bhargava,"Lay judge, and first time judging, my son is writing this for me. Speak slowly, clearly, and
articulate your arguments well. NO PROG (K's, theory, trix, phil, etc) or ""layified prog.""
Avoid FWK debate unless you can explain it REALLY well, but even so, I'd probably not go
for it. Try not to speak >150 wpm and always err on the side of overexplaining. Impact
weigh starting summary, and do it clearly on impact calc like magnitute, probability,
timeframe, etc. No blippy warrants---implicate everything well. NO NEW ARGUMENTS IN
FINAL FOCUS!!! Signpost EXCESSIVELY - be really clear when saying ""on our case"" ""down
their case.""
SEND CASES (CARDS+RHETORIC if read) AND REBUTTAL CARDS TO
bhargavadm@gmail.com.
use email chain rather than speechdrop"
Michelle,"I am a PF lay judge. My daughter competes in PF debate. [Beware ;-)].
I judge based on the rules, not on my personal views or opinion, (which is probably lucky
for you). If you say it, I will believe it unless your opponent strikes it down. Crossfire
discussions will not be considered in my final decision, so be sure to say what you want to
say during the constructive portions of the debate.
I do not respond well to spreading. The quality of your key points is more important than
the quantity of words you use. The faster you speak, the harder it is for judges (including
me) to keep track of all your points and ensure we can accurately track the flow. You have
worked hard building your case so make sure we judges can hear all the important points
(i.e., talking like a squirrel who has consumed 200 pots of coffee will not enable judges to
hear and comprehend your arguments).
Finally, I worked for many, many years in corporate America. Advice that served me well -
and which will serve you well too is - Tell me what you're going to tell me, tell me, and then
tell me what you told me. In other words, make the arc of your case crystal clear (extend
your case)."
Hosna,"Hello!
I am a first year at the University of San Francisco studying environmental science and
public health. I'm so excited to start judging after all these years of competing!!
Debate Paradigm
My background in debate is quite long! I have done debate for 6 years, winning 2 ND state
championships and runner-up in Public Forum Debate, and going to nationals twice for PF.
I have also gone to nationals in congressional debate-senate as well. If you're reading this,
I have been exactly in your shoes of reading the judge paradigm 5 minutes before the
round starts, so I will (try to) keep it short and pretty.
Simplicity: I know you only have 4 minutes to shove a whole plan in my face, but keeping
your case straight to the point will grab your judge's attention. I do not want to do
research in the middle of the round trying to understand what you are stating for your
arguments. Please always clarify what you are saying. It might make sense to you, but will
it make sense to someone who has never heard of the resolution? Also, I do not need a
definition on simple words such as ""ought"" or ""in"" or ""be"" (real-life examples btw), let's be
so for real right now. Your judges don't know a lot about the topic, but they aren't that
unaware! Give yourself more time to say your case.
Logic: I am sure you have seen the ""if you can fix climate change or wars in one 60-minute
round, I'll personally fly you to the UN"" comments a lot, but I am kinda ok with stuff like
that. I think a lot of those problems can be fixed in such simple ways, but we have dumb
people running our world. Don't be afraid to expand your horizon in your case, just
nothing too crazy like saying the earth is flat or something. I am also a fan of comparison
or giving hypotheticals to help me understand your case better. Additionally, do NOT give
me a pre-written rebuttal or summary speech, I can totally tell when someone is giving me
gibberish they gave 3 rounds ago. Don't shout a bunch of sources and numbers in my face
either.
Etiquette: Maybe this is me being messy and a former debate kid, but I like some heat in
cross fire. Obviously, use proper manners and don't be a b-word, but if you haven't gotten
your question in, get it! It makes you look bad if you are just answering questions and not
asking...no debate or argument can be generated on your side if you have no answers
from the other team.Additionally, please keep chatter to a minimum when your opponent
is speaking.
Also, I check cards if they sound fishy. Misrepresenting a card is an automatic loss.
Rebuttal:Give me reasons why I should vote for you, AND give me reasons why the other
team's case isn't as strong as yours. I always do comparisons on cases. You could have the
perfect case, but the other team can give me reasons why they have the better case, and
they would get my vote. I want big impacts at the end of summary or FF. I don’t usually
flow the voters given by the competitors, i usually just pick what was discussed the most in
the round. (Roadmaps will always help me with that!). Always defend your constructive
points throughout the debate, even if your opponent did not touch it. Mentioning the
opponent did not touch your arguments discussed throughout the whole round weighs
heavily on my ballot decision.
I want to feel like I made the world better because I chose you. Also, you don't have to do
this, but if you could add some one-liners to end your rebuttal speech with some oomph,
that would be cool too ;)
I love fun and silly debates that can also be serious and not get too off-track. Have fun,
enjoy your final years of debate before it's too late :')
Speech
I have only done speech for 2ish years, and loved it! I went to nationals my senior year in
OO and won state speech in OO as well
I'm not really sure how I write a paradigm for speech... If anything, I would say to please be
a good audience member. I have seen kids not pay attention or even start talking in a
middle of a student's performance, and that does not make you cool! I am not saying I
would deduct a student for such behavior, but it'll be pretty hard for me to find grace for
your performance the same way you gave the previous student's performance.
If you stutter, not the end of the world. In fact, It won't affect your ranking. Same with
forgetting a line. Take a breath, and retrack.
Time signals: Regardless of any event, I will give time signals, you just have to ask :).
Asking for them will never make you look less of a performer!
Extemp kids:I will say I have always found humor fun in these events. This event is already
serious as it is, add some fun to it! Additionally, I would say you need at least 5 sources to
make your speech credible. Idc how you credit them, as long as I hear some credit.
Interpers: I only have ONE thing to say, which is to take a small beat before you go into
your introduction! I can never tell when someone starts their introduction or not when
they do not do this, and I don't wanna auto 9 you!"
Xiong,"Hi, I’m a lay judge. My background is not in debate, so I will be evaluating rounds based on
clear, logical arguments rather than technical jargon or debate theory. If you want me to
consider something, make sure to explain it in a way that an average person would
understand.
Please speak clearly and at a moderate pace, as English is not my first language. I value
strong argumentation, good use of evidence, and clear impacts. I also appreciate good
organization and signposting so I can follow your points easily.
I will do my best to be fair and objective in my decision. Respectful and persuasive
debating will go a long way in making your case convincing. Looking forward to judging
your round—good luck!"
Carol,"in 2023. I am now a sophomore at Swarthmore College and coach for American Heritage
Palm Beach.
PLEASE READ — TL;DR
BASICS
*Tech>Truth to the best of my ability.
*Please make a speech drop or send an email chain to alexander.huang@ahschool.com
(no Google Docs), and label it properly: Yale Round 1: Durham HH (Neg) vs Taipei CW (Aff).
Send docs before front-half speeches and send them quickly.
*I will vote by first looking at weighing and then links into the weighing, but feel free to
make arguments for why I should vote otherwise.
*Every part of an argument must be extended for me to vote on it, and anything I vote on
must have a warrant.
*Second rebuttal must respond to first, and there should be nothing new past summary.
*Speaks will reflect your strategy and execution, of course, but also the non-content
aspects of the round: you'll get high speaks if you show up on time, send evidence quickly,
stay organized, speak clearly, and are respectful—you'll get low speaks if you're late, if you
take forever to send docs, if you're a jerk, or if you steal prep time.
*Pet peeves: if you try to call everything by policy terms. If you call the rebuttal the 2AC or
your contentions ""Advantage 1"" and ""Advantage 2,"" I'm going to physically cringe. It's not
aura, I promise.
HOW TO WIN
The biggest thing you can do to increase the chances you win the round and get good
speaks: provide good warranting and analysis using your brain and not the doc.
*Warranting: the state of warranting in PF is atrocious. Anything that doesn’t have a
warrant is a meaningless claim to me and I won’t evaluate it. That means
1) If you say try or die or we link-in or we short-circuit without reading a warrant for
why and explaining the implication, I’m not evaluating it as weighing. Saying jargon is
not weighing. If you say “try or die,” I’m ignoring you. If you say “it’s try or die –
they’ve conceded that climate change is inevitable by 2050 so extinction is non-
unique in their world. The only risk of solvency is the aff. Any risk of offense on
climate means you vote for us” that is actual weighing.
2) If you read one line about how 2026 is key for timeframe with no warrant for why
2026 is key I’m not evaluating it as weighing
3) I’m not letting you go for impacts or hidden links that are one line parts of
evidence and not tagged as such, and I won’t let you sandbag warrants in later
speeches
4) “No warrant,” if won, is terminal defense to whatever you’re responding to
*Analysis: Get your face out of the cards. If you look up at me and do real analysis I will be
so pleased. Some policies I’ve borrowed from Mac Hays:
1) Chances of getting 30 speaks are inversely proportional to the percent of your
speech that is read off of a computer.
2) Speaks are capped at 29 if you read more than 50% of summary and/or final
focus off of a computer. For TOC Digital, obviously it will be harder to tell, but trust
me, I’ll know.
SPECIFICS
*Do not sacrifice analysis for speed and/or shenanigans. While “tech” in place of “truth”
means that I try to limit the influence of my own personal beliefs to the maximum extent,
it does not mean that the need for your analysis to be coherent and persuasive is absent:
a) everything must be sufficiently warranted even if its conceded, b) I'll side with good and
persuasive analytics against cards. Smart analysis is always going to triumph over bad,
unwarranted evidence. Tech debate that is in-depth and full of smart analysis is so much
fun. Tech debate that is fast blips that are unwarranted misconstructions of bad evidence
is boring and noneducational.
*Speed is fine, but be clear. Slow down on tags and in the back half. Use speed
strategically. 3 slow minutes of the best argument in the round is always going to beat 18
mediocre arguments read at lightning pace.
*Cross is binding, but must be brought up in speech
*Implicate good defense against weighing. There is a trend in PF where both teams try
to find the quickest link into extinction, and all defense goes out the window. I am not a
fan. If you are winning terminal or near terminal defense against an extinction outweighs +
short circuit, tell me why I shouldn’t look there first. A 0.00000000000000000001% chance
of something occurring rounds to 0, after all.
*Theory: If you are initiating theory against novices/a team that clearly does not know how
to respond, I won't evaluate under competing interps, and your speaks will be tanked. It
must be read in the speech after the violation. For your information (because I think there
is inherently a little more intervention in theory debate, since we are debating about
debate, and the persuasiveness of certain responses is going to be based on what I have
seen in debate), I generally think paraphrasing is bad, and disclosure is good, but I would
be willing to vote any way on theory. I would be receptive to round reports theory about
teams that put ""OS"" instead of writing what they read.
*Ks: I have a relatively high threshold for a quality K in PF. I really believe you can't just
port Ks from LD and Policy into PF. I think a quality K is very educational, and also fun to
watch. However, to be a quality K, a K should be treated like a research project – high
quality work that is clear, done yourself, and disclosed for others to interact with. I have a
very low tolerance for Ks that are stolen from LD or Policy, read against teams who barely
link, and are generally unintelligible. If I feel like you are reading a K not because you want
to debate the K literature but because you are trying to get out of debating anything at all,
my threshold for responses will be very low.
*Phil: I'm completely down to evaluate phil, but your explanations ought to be very good.
A) I'm not familiar with most of the terms in metaethics and normative ethics, and I won't
vote on something I don't understand. B) If you're going for something very complicated,
I'm not going to fill in warrants for you - you still have to extend everything relevant to your
framing.
*Non-starters: no tricks, no speaks theory, no friv theory, and no ad-homs.
*Post-rounding: Post-rounding is educational, but be polite and curious. I’m not going to
change my decision. Ask to learn more about why I wasn’t persuaded, but there is no
debate between you and me."
Gouthami,
Milind,"tech only, truth does not exist
Send speech docs before each speech if case is difficult to understand (phil)
Hello,
I am a parent judge. So the round should typically be traditional, I do know how to flow
and evaluate arguments.
Things I consider in the round:
Do not speak fast. If I do not understand your argument I will drop it.
Evidence. You must have evidence proving your point
Framework. You must give me good evidence and reasoning on why your framework is
better than your opponents.
Do not run progressive arguments (theory, etc. unless absolutely necessary. As I said above,
The round should be traditional.
Weighing. Weighing is important for me. Please weigh correctly.
Most of all, have fun and be polite."
Kashyu,"
I am a lay, parent judge. Please speak slowly and clearly, and put emphasis on weighing to
demonstrate exactly why your side should win the round. I will try my best to take notes,
but please do not speak fast as I cannot guarantee I will be able to take effective notes. I
cannot judge theory arguments or kritiks. Please be kind and respectful to everyone in the
room: I look for a fair and educational debate. I do not disclose on the spot."
Joshua,"Blake '21, UChicago '25, WashU Law '28
I did national circuit public forum for Blake for three years ('18-'21). I was the Assistant
Director of Debate at Blake for four years ('21-'25). I am currently an assistant coach for
Taipei American School.
Tl;dr
- I flow.
- Tech>truth.
- Please read paraphrasing theory in rounds where the opponents are paraphrasing.
Paraphrasing is an awful practice, evidence is VERY important to me, and I am happy to
use the ballot to punish bad ethics in round.
- Send speech docs before each speech in which cards will be read.
- Speed is fine but you MUST spread correctly. If you go the same speed on tags as you are
going on card text, you are not spreading correctly and I will clear you. IF I CLEAR YOU, IT
MEANS I CANNOT HEAR YOUR TAGS, AND IT SHOULD CAUSE YOU GREAT ALARM.
- 2nd rebuttal must frontline, defense isn't sticky, and if I'm something is going to be
mentioned on my ballot, it must be in both back half speeches.
- Please weigh.
- I will let your opponents take prep for as long as it takes for you to send your doc or
cards without it counting towards their 3 minutes, so send docs pls and send them fast."
